INSERT INTO user (id, avatar, birthday, is_guest, password, rating, status, token, user_settings, username) VALUES
(19,19,'2006-06-14',FALSE,'$2a$10$7F2qqSWk.aRWEokutNaA3.LM35H.UUxat3vcsZLzDYxpagmT/FybO',2,'ONLINE','8c22a5bd-d8e6-4283-bc2d-745d58eaf022','{}','Jack'),
(20,20,'1982-11-04',FALSE,'$2a$10$cQRQP97NMP.YoPRqXgUgM.29tyqdfrl/iwImxariwAoA3s6rn6T6C',22,'OFFLINE','bc7f33e7-b212-41e0-86e3-9e93be1e7bc0','{}','Kenny'),
(21,21,'2007-11-30',FALSE,'$2a$10$eZOASq9YI0RYaev0YPP7kOYZHrQqJ8k1qe32XzFAFCkNKGtF0vuJm',15,'OFFLINE','6155b620-2dbc-4482-ae5c-2b8287fbe1fd','{}','Liam'),
(22,22,'1994-07-12',FALSE,'$2a$10$w3kYngINCdvEuEudhbAkQuTzw0LgKFub9GC93jxifb4BhwgqrZa.q',16,'ONLINE','bba78e54-20fe-429c-8b2a-2c00224a26c8','{}','Monica'),
(23,23,null,FALSE,'$2a$10$.Ny5PHah/RxWCVZJyAMeIucIP6W6ry7hef/9JwwqAlSPcWA1uHLXG',22,'OFFLINE','d3d4382b-8a14-4fd8-8ee5-d1bf08fd5c38','{}','Nora'),
(24,24,'2007-10-20',FALSE,'$2a$10$xOUD6Jz4MPudl4/zagRqM.Ew4nO4Ymu0cqO8VGKLR2kVMM3y2Onay',25,'OFFLINE','73b1c0dd-fbae-4923-85ca-d46297e8f520','{}','Oliver'),
(25,25,'1989-05-12',FALSE,'$2a$10$Y2ap3Tft9v98BQs5w2R9SOyWxGECE8puc3lUtvLLN0uMBx1K02f3q',4,'ONLINE','ccc874e2-4dff-43c3-adc4-59a056845d71','{}','Peter'),
(26,26,'1956-02-17',FALSE,'$2a$10$y3/HjUUVVgDYDFzLja1o.uh2dqUaSA6sL6bY4KJxNHjr3F.SIv6dK',4,'OFFLINE','caac3331-1899-444f-bee2-6d7bcd5b4881','{}','Quentin'),
(27,27,'2003-06-14',FALSE,'$2a$10$cQRQP97NMP.YoPRqXgUgM.29tyqdfrl/iwImxariwAoA3s6rn6T6C',3,'OFFLINE','6155b329-2dbc-4482-ae5c-2b8287fbe1fd','{}','Ronda'),
(28,28,'1981-11-04',FALSE,'$2a$10$eZOASq9YI0RYaev0YPP7kOYZHrQqJ8k1qe32XzFAFCkNKGtF0vuJm',17,'ONLINE','bba788c4-20fe-429c-8b2a-2c00224a26c9','{}','Sabine'),
(29,29,'2005-11-30',FALSE,'$2a$10$w3kYngINCdvEuEudhbAkQuTzw0LgKFub9GC93jxifb4BhwgqrZa.q',14,'OFFLINE','d3d4387b-8a1b-4ff8-8ee5-d1bf08fd5c39','{}','Thea'),
(30,30,'1984-07-12',FALSE,'$2a$10$.Ny5PHah/RxWCVZJyAMeIucIP6W6ry7hef/9JwwqAlSPcWA1uHLXG',25,'OFFLINE','74b1c06d-fbae-4993-85ca-d46297e8f521','{}','Ursula'),
(31,31,null,FALSE,'$2a$10$xOUD6Jz4MPudl4/zagRqM.Ew4nO4Ymu0cqO8VGKLR2kVMM3y2Onay',9,'ONLINE','ccc874e8-4df5-43c3-ad44-59a056845d72','{}','Veronica'),
(32,32,'2002-10-20',FALSE,'$2a$10$Y2ap3Tft9v98BQs5w2R9SOyWxGECE8puc3lUtvLLN0uMBx1K02f3q',2,'OFFLINE','caac3334-5899-444f-bee3-6d7bcd5b4882','{}','Will'),
(33,33,'1959-05-12',FALSE,'$2a$10$y3/HjUUVVgDYDFzLja1o.uh2dqUaSA6sL6bY4KJxNHjr3F.SIv6dK',22,'OFFLINE','6155b323-2dbc-4482-ae5c-2b8285fbe1fd','{}','Xander'),
(34,34,'1956-02-17',FALSE,'$2a$10$cQRQP97NMP.YoPRqXgUgM.29tyqdfrl/iwImxariwAoA3s6rn6T6C',15,'ONLINE','bba78ece-20fe-429c-8b2a-2c00224a27c10','{}','Yvan'),
(35,35,'1972-03-14',FALSE,'$2a$10$eZOASq9YI0RYaev0YPP7kOYZHrQqJ8k1qe32XzFAFCkNKGtF0vuJm',16,'OFFLINE','d3d4382c-8a6b-4fd8-8ee5-d1bf08fd5c40','{}','Zoé');
